Canción,Artista / Grupo,"Categoría ",Tipo musical,Dominio de la iglesia,Dominio del equipo,Complejidad técnica,Link,Clásicos IBAMI
"Al estar aquí ",Danilo Montero,"Consagración / Entrega, Declaración Doctrinal",Balada congregacional,Dominada,Montada,Básica,,Yes
Alabdle!,Marcos Witt,Exaltación / Gloria,Celebración Rítmica,Dominada,Montada,Básica,https://music.youtube.com/watch?v=Qy833_8I8Jw&si=jjEVRciAUnfFRt8_,No
"Cerca de tí ",Jesús A. Romero,"Clamor / Intercesión, Confesión / Arrepentimiento",Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=nz4u5HKSAoE&si=GQzHvhm0mNkcnl37,Yes
Al que está sentado en el trono,Tomatulugar,"Clamor / Intercesión, Consagración / Entrega, Exaltación / Gloria",Worship contemporáneo,Dominada,Ensamblada,Básica,https://music.youtube.com/watch?v=MclX3YvhBMM&si=kdXn6LTV2ApF0Wv_,No
Mas El Dios de toda Gracia,Marcos Witt,Exaltación / Gloria,Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=cWkDXlAE5Xs&si=0hUWR89hqRmudm_b,No
"Grandes son Tus maravillas ",Jaime Murrell,"Exaltación / Gloria, Gozo / Celebración",Celebración Rítmica,Conocida,Ensamblada,Básica,https://music.youtube.com/watch?v=dsgj-gJRcgU&si=SMM5cdoVE88AY4Rc,Yes
"Venimos ante Tí ",Marco Barrientos,"Clamor / Intercesión, Declaración Doctrinal, Exaltación / Gloria",Balada congregacional,Conocida,Ensamblada,Básica,https://music.youtube.com/watch?v=NKS35QMgFtE&si=taKfrud4n6HgySrf,No
"Yo me rindo a ÉL ",Su presencia,Consagración / Entrega,"Especial, Himno Tradicional",Conocida,Por practicar,Básica,https://music.youtube.com/watch?v=kVivVyrCPV8&si=VeaMo2--ISX1Jsc-,No
"Al que es digno ",Marcos Witt,"Exaltación / Gloria, Gozo / Celebración",Celebración Rítmica,Dominada,Ensamblada,Básica,https://music.youtube.com/watch?v=4zdTcNRf7WE&si=ivskUNrYcCnvj2SS,Yes
Damos honor a tí,Coalo Zamorano,"Acción de Gracias, Consagración / Entrega",Balada congregacional,Dominada,Ensamblada,Básica,https://music.youtube.com/watch?v=UOKQpHOkzTQ&si=StFwLbsp0jn1NzVg,No
"Tu Amor por Mí ",Marcos Witt,Acción de Gracias,Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=XJOkVUyZQZQ&si=gKu2iLlP7MHaDSGz,No
"Amante de Tí ",Marcos Witt,"Acción de Gracias, Confesión / Arrepentimiento, Consagración / Entrega",Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=ilFQrVEjmrU&si=0VRRTQFAGt5x7uvy,Yes
"Tu nombre oh Dios ",Marcos Witt,Exaltación / Gloria,Celebración Rítmica,Dominada,Montada,Básica,https://music.youtube.com/watch?v=NfoQer54JSU&si=q0FByxA3lenj1q4_,No
Usa mi vida,Danilo Montero,"Clamor / Intercesión, Confesión / Arrepentimiento","Balada congregacional, Especial",Conocida,Por practicar,Intermedia,https://music.youtube.com/watch?v=8Okof73vyoQ&si=yh-fNW1C77ulV4ix,No
"Perfume a tus pies ",En Espíritu y en Verdad,Consagración / Entrega,Balada congregacional,Conocida,Ensamblada,Básica,https://music.youtube.com/watch?v=mVkWoznNTOk&si=rvVRqjEThFQw7e9M,No
